,day_type,name,time,waiting_time
141,1,Baron1898,10:25:00,5.0
142,1,Baron1898,10:30:00,5.0
143,1,Baron1898,10:35:00,5.0
144,1,Baron1898,10:40:00,5.0
145,1,Baron1898,10:45:00,5.0
146,1,Baron1898,10:50:00,5.0
147,1,Baron1898,10:55:00,5.0
148,1,Baron1898,11:00:00,5.0
149,1,Baron1898,11:05:00,5.0
150,1,Baron1898,11:10:00,5.0
151,1,Baron1898,11:15:00,5.0
152,1,Baron1898,11:20:00,10.0
153,1,Baron1898,11:25:00,10.0
154,1,Baron1898,11:30:00,5.0
155,1,Baron1898,11:35:00,5.0
156,1,Baron1898,11:40:00,5.0
157,1,Baron1898,11:45:00,5.0
158,1,Baron1898,11:50:00,5.0
159,1,Baron1898,11:55:00,5.0
160,1,Baron1898,12:00:00,5.0
161,1,Baron1898,12:05:00,5.0
162,1,Baron1898,12:10:00,5.0
163,1,Baron1898,12:15:00,5.0
164,1,Baron1898,12:20:00,5.0
165,1,Baron1898,12:25:00,5.0
166,1,Baron1898,12:30:00,5.0
167,1,Baron1898,12:35:00,5.0
168,1,Baron1898,12:40:00,5.0
169,1,Baron1898,12:45:00,5.0
170,1,Baron1898,12:50:00,5.0
171,1,Baron1898,12:55:00,5.0
172,1,Baron1898,13:00:00,5.0
173,1,Baron1898,13:05:00,5.0
174,1,Baron1898,13:10:00,5.0
175,1,Baron1898,13:15:00,5.0
176,1,Baron1898,13:20:00,5.0
177,1,Baron1898,13:25:00,5.0
178,1,Baron1898,13:30:00,5.0
179,1,Baron1898,13:35:00,5.0
180,1,Baron1898,13:40:00,0.0
181,1,Baron1898,13:45:00,0.0
182,1,Baron1898,13:50:00,0.0
183,1,Baron1898,13:55:00,0.0
184,1,Baron1898,14:00:00,0.0
185,1,Baron1898,14:05:00,0.0
186,1,Baron1898,14:10:00,0.0
187,1,Baron1898,14:15:00,0.0
188,1,Baron1898,14:20:00,0.0
189,1,Baron1898,14:25:00,0.0
190,1,Baron1898,14:30:00,0.0
191,1,Baron1898,14:35:00,0.0
192,1,Baron1898,14:40:00,0.0
193,1,Baron1898,14:45:00,0.0
194,1,Baron1898,14:50:00,0.0
195,1,Baron1898,14:55:00,0.0
196,1,Baron1898,15:00:00,0.0
197,1,Baron1898,15:05:00,0.0
198,1,Baron1898,15:10:00,0.0
199,1,Baron1898,15:15:00,0.0
200,1,Baron1898,15:20:00,0.0
201,1,Baron1898,15:25:00,0.0
202,1,Baron1898,15:30:00,0.0
203,1,Baron1898,15:35:00,0.0
204,1,Baron1898,15:40:00,0.0
205,1,Baron1898,15:45:00,0.0
206,1,Baron1898,15:50:00,0.0
207,1,Baron1898,15:55:00,0.0
208,1,Baron1898,16:00:00,0.0
209,1,Baron1898,16:05:00,0.0
210,1,Baron1898,16:10:00,0.0
211,1,Baron1898,16:15:00,0.0
212,1,Baron1898,16:20:00,0.0
213,1,Baron1898,16:25:00,0.0
214,1,Baron1898,16:30:00,0.0
215,1,Baron1898,16:35:00,0.0
216,1,Baron1898,16:40:00,0.0
217,1,Baron1898,16:45:00,0.0
218,1,Baron1898,16:50:00,0.0
219,1,Baron1898,16:55:00,0.0
220,1,Baron1898,17:00:00,0.0
221,1,Baron1898,17:05:00,0.0
222,1,Baron1898,17:10:00,0.0
223,1,Baron1898,17:15:00,0.0
224,1,Baron1898,17:20:00,0.0
225,1,Baron1898,17:25:00,0.0
226,1,Baron1898,17:30:00,0.0
227,1,Baron1898,17:35:00,0.0
228,1,Baron1898,17:40:00,0.0
229,1,Baron1898,17:45:00,0.0
230,1,Baron1898,17:50:00,0.0
231,1,Baron1898,17:55:00,0.0
232,1,Baron1898,18:00:00,0.0
233,1,Baron1898,18:05:00,0.0
234,1,Baron1898,18:10:00,0.0
235,1,Baron1898,18:15:00,0.0
236,1,Baron1898(Frontrow),08:30:00,0.0
237,1,Baron1898(Frontrow),08:35:00,0.0
238,1,Baron1898(Frontrow),08:40:00,0.0
239,1,Baron1898(Frontrow),08:45:00,0.0
240,1,Baron1898(Frontrow),08:50:00,0.0
241,1,Baron1898(Frontrow),08:55:00,0.0
242,1,Baron1898(Frontrow),09:00:00,0.0
243,1,Baron1898(Frontrow),09:05:00,0.0
244,1,Baron1898(Frontrow),09:10:00,0.0
245,1,Baron1898(Frontrow),09:15:00,0.0
