;date;hour;name;waiting_time;;gemiddelde wachttijd;standaardafwijking;gemiddelde/dag
90;06/11/2016;16:00:00;Kinderspoor;0;;11,25;8,35;
91;06/11/2016;16:05:00;Kinderspoor;0;;8,75;8,35;
92;06/11/2016;16:10:00;Kinderspoor;0;;7,50;8,02;
93;06/11/2016;16:15:00;Kinderspoor;0;;7,50;8,45;
94;06/11/2016;16:20:00;Kinderspoor;0;;7,50;8,45;
95;06/11/2016;16:25:00;Kinderspoor;0;;7,50;8,45;
96;06/11/2016;16:30:00;Kinderspoor;0;;6,88;7,04;
97;06/11/2016;16:35:00;Kinderspoor;0;;6,25;7,44;
98;06/11/2016;16:40:00;Kinderspoor;0;;6,25;7,44;
99;06/11/2016;16:45:00;Kinderspoor;0;;6,25;7,44;
100;06/11/2016;16:50:00;Kinderspoor;0;;5,63;6,78;
101;06/11/2016;16:55:00;Kinderspoor;0;;5,63;6,78;
102;06/11/2016;17:00:00;Kinderspoor;0;;5,63;6,78;
103;06/11/2016;17:05:00;Kinderspoor;0;;5,00;6,55;
104;06/11/2016;17:10:00;Kinderspoor;0;;3,75;6,94;
105;06/11/2016;17:15:00;Kinderspoor;0;;2,50;3,78;
106;06/11/2016;17:20:00;Kinderspoor;0;;2,50;3,78;
107;06/11/2016;17:25:00;Kinderspoor;0;;1,88;3,72;
108;06/11/2016;17:30:00;Kinderspoor;0;;1,88;3,72;
109;06/11/2016;17:35:00;Kinderspoor;0;;1,25;2,31;
110;06/11/2016;17:40:00;Kinderspoor;0;;0,63;1,77;
111;06/11/2016;17:45:00;Kinderspoor;0;;0,63;1,77;
112;06/11/2016;17:50:00;Kinderspoor;0;;0,63;1,77;
113;06/11/2016;17:55:00;Kinderspoor;0;;0,63;1,77;
114;06/11/2016;18:00:00;Kinderspoor;0;;0,63;1,77;
115;06/11/2016;18:05:00;Kinderspoor;0;;0,00;0,00;
116;06/11/2016;18:10:00;Kinderspoor;0;;0,00;0,00;
117;06/11/2016;18:15:00;Kinderspoor;0;;0,00;0,00;
118;06/11/2016;08:30:00;HalveMaen;0;;0,00;0,00;
119;06/11/2016;08:35:00;HalveMaen;0;;0,00;0,00;
120;06/11/2016;08:40:00;HalveMaen;0;;0,00;0,00;
121;06/11/2016;08:45:00;HalveMaen;0;;0,00;0,00;
122;06/11/2016;08:50:00;HalveMaen;0;;0,00;0,00;
123;06/11/2016;08:55:00;HalveMaen;0;;0,00;0,00;
124;06/11/2016;09:00:00;HalveMaen;0;;0,00;0,00;
125;06/11/2016;09:05:00;HalveMaen;0;;0,00;0,00;
