,date,hour,name,waiting_time,day_type
52878,2016-11-02,08:50:00,CarnavalFestival,0,1
52953,2016-11-02,15:05:00,CarnavalFestival,5,1
52877,2016-11-02,08:45:00,CarnavalFestival,0,1
52875,2016-11-02,08:35:00,CarnavalFestival,0,1
52874,2016-11-02,08:30:00,CarnavalFestival,0,1
52873,2016-11-02,18:15:00,Baron1898(Frontrow),0,1
52872,2016-11-02,18:10:00,Baron1898(Frontrow),0,1
52871,2016-11-02,18:05:00,Baron1898(Frontrow),0,1
52870,2016-11-02,18:00:00,Baron1898(Frontrow),0,1
52869,2016-11-02,17:55:00,Baron1898(Frontrow),0,1
52868,2016-11-02,17:50:00,Baron1898(Frontrow),0,1
52867,2016-11-02,17:45:00,Baron1898(Frontrow),0,1
52866,2016-11-02,17:40:00,Baron1898(Frontrow),5,1
52865,2016-11-02,17:35:00,Baron1898(Frontrow),5,1
52864,2016-11-02,17:30:00,Baron1898(Frontrow),5,1
52863,2016-11-02,17:25:00,Baron1898(Frontrow),5,1
52876,2016-11-02,08:40:00,CarnavalFestival,0,1
52831,2016-11-02,14:45:00,Baron1898(Frontrow),5,1
52954,2016-11-02,15:10:00,CarnavalFestival,5,1
52956,2016-11-02,15:20:00,CarnavalFestival,5,1
53046,2016-11-02,13:00:00,VogelRok,5,1
53045,2016-11-02,12:55:00,VogelRok,5,1
53044,2016-11-02,12:50:00,VogelRok,5,1
53043,2016-11-02,12:45:00,VogelRok,5,1
53042,2016-11-02,12:40:00,VogelRok,5,1
53041,2016-11-02,12:35:00,VogelRok,5,1
53040,2016-11-02,12:30:00,VogelRok,5,1
53039,2016-11-02,12:25:00,VogelRok,5,1
53038,2016-11-02,12:20:00,VogelRok,5,1
53037,2016-11-02,12:15:00,VogelRok,5,1
53036,2016-11-02,12:10:00,VogelRok,5,1
53035,2016-11-02,12:05:00,VogelRok,5,1
53034,2016-11-02,12:00:00,VogelRok,5,1
53033,2016-11-02,11:55:00,VogelRok,5,1
53032,2016-11-02,11:50:00,VogelRok,5,1
53031,2016-11-02,11:45:00,VogelRok,5,1
53030,2016-11-02,11:40:00,VogelRok,5,1
53029,2016-11-02,11:35:00,VogelRok,5,1
53028,2016-11-02,11:30:00,VogelRok,5,1
53027,2016-11-02,11:25:00,VogelRok,5,1
53026,2016-11-02,11:20:00,VogelRok,5,1
