,date,hour,name,waiting_time
132,2016-11-27,09:40:00,HalveMaen,0
133,2016-11-27,09:45:00,HalveMaen,0
134,2016-11-27,09:50:00,HalveMaen,0
135,2016-11-27,09:55:00,HalveMaen,0
136,2016-11-27,10:00:00,HalveMaen,0
137,2016-11-27,10:05:00,HalveMaen,0
138,2016-11-27,10:10:00,HalveMaen,0
139,2016-11-27,10:15:00,HalveMaen,0
140,2016-11-27,10:20:00,HalveMaen,0
141,2016-11-27,10:25:00,HalveMaen,0
142,2016-11-27,10:30:00,HalveMaen,0
143,2016-11-27,10:35:00,HalveMaen,0
144,2016-11-27,10:40:00,HalveMaen,0
145,2016-11-27,10:45:00,HalveMaen,0
146,2016-11-27,10:50:00,HalveMaen,0
147,2016-11-27,10:55:00,HalveMaen,0
148,2016-11-27,11:00:00,HalveMaen,0
149,2016-11-27,11:05:00,HalveMaen,0
150,2016-11-27,11:10:00,HalveMaen,0
151,2016-11-27,11:15:00,HalveMaen,0
152,2016-11-27,11:20:00,HalveMaen,0
153,2016-11-27,11:25:00,HalveMaen,0
154,2016-11-27,11:30:00,HalveMaen,0
155,2016-11-27,11:35:00,HalveMaen,0
156,2016-11-27,11:40:00,HalveMaen,0
157,2016-11-27,11:45:00,HalveMaen,0
158,2016-11-27,11:50:00,HalveMaen,0
159,2016-11-27,11:55:00,HalveMaen,0
160,2016-11-27,12:00:00,HalveMaen,0
161,2016-11-27,12:05:00,HalveMaen,0
162,2016-11-27,12:10:00,HalveMaen,0
163,2016-11-27,12:15:00,HalveMaen,0
164,2016-11-27,12:20:00,HalveMaen,0
165,2016-11-27,12:25:00,HalveMaen,0
166,2016-11-27,12:30:00,HalveMaen,0
167,2016-11-27,12:35:00,HalveMaen,10
168,2016-11-27,12:40:00,HalveMaen,10
169,2016-11-27,12:45:00,HalveMaen,10
170,2016-11-27,12:50:00,HalveMaen,10
171,2016-11-27,12:55:00,HalveMaen,10
172,2016-11-27,13:00:00,HalveMaen,10
173,2016-11-27,13:05:00,HalveMaen,10
174,2016-11-27,13:10:00,HalveMaen,10
175,2016-11-27,13:15:00,HalveMaen,10
176,2016-11-27,13:20:00,HalveMaen,10
177,2016-11-27,13:25:00,HalveMaen,10
178,2016-11-27,13:30:00,HalveMaen,10
179,2016-11-27,13:35:00,HalveMaen,10
180,2016-11-27,13:40:00,HalveMaen,10
181,2016-11-27,13:45:00,HalveMaen,15
182,2016-11-27,13:50:00,HalveMaen,15
183,2016-11-27,13:55:00,HalveMaen,15
184,2016-11-27,14:00:00,HalveMaen,15
185,2016-11-27,14:05:00,HalveMaen,15
186,2016-11-27,14:10:00,HalveMaen,15
187,2016-11-27,14:15:00,HalveMaen,15
188,2016-11-27,14:20:00,HalveMaen,15
189,2016-11-27,14:25:00,HalveMaen,15
190,2016-11-27,14:30:00,HalveMaen,15
191,2016-11-27,14:35:00,HalveMaen,15
192,2016-11-27,14:40:00,HalveMaen,15
193,2016-11-27,14:45:00,HalveMaen,15
194,2016-11-27,14:50:00,HalveMaen,15
195,2016-11-27,14:55:00,HalveMaen,15
196,2016-11-27,15:00:00,HalveMaen,15
197,2016-11-27,15:05:00,HalveMaen,15
198,2016-11-27,15:10:00,HalveMaen,15
199,2016-11-27,15:15:00,HalveMaen,15
200,2016-11-27,15:20:00,HalveMaen,15
201,2016-11-27,15:25:00,HalveMaen,15
202,2016-11-27,15:30:00,HalveMaen,15
203,2016-11-27,15:35:00,HalveMaen,15
204,2016-11-27,15:40:00,HalveMaen,15
205,2016-11-27,15:45:00,HalveMaen,15
206,2016-11-27,15:50:00,HalveMaen,15
207,2016-11-27,15:55:00,HalveMaen,15
208,2016-11-27,16:00:00,HalveMaen,15
209,2016-11-27,16:05:00,HalveMaen,15
210,2016-11-27,16:10:00,HalveMaen,15
211,2016-11-27,16:15:00,HalveMaen,15
212,2016-11-27,16:20:00,HalveMaen,15
213,2016-11-27,16:25:00,HalveMaen,15
214,2016-11-27,16:30:00,HalveMaen,5
215,2016-11-27,16:35:00,HalveMaen,5
216,2016-11-27,16:40:00,HalveMaen,5
217,2016-11-27,16:45:00,HalveMaen,5
218,2016-11-27,16:50:00,HalveMaen,5
219,2016-11-27,16:55:00,HalveMaen,5
220,2016-11-27,17:00:00,HalveMaen,5
221,2016-11-27,17:05:00,HalveMaen,5
222,2016-11-27,17:10:00,HalveMaen,5
223,2016-11-27,17:15:00,HalveMaen,5
224,2016-11-27,17:20:00,HalveMaen,5
225,2016-11-27,17:25:00,HalveMaen,5
226,2016-11-27,17:30:00,HalveMaen,5
227,2016-11-27,17:35:00,HalveMaen,5
228,2016-11-27,17:40:00,HalveMaen,0
229,2016-11-27,17:45:00,HalveMaen,0
230,2016-11-27,17:50:00,HalveMaen,0
231,2016-11-27,17:55:00,HalveMaen,0
232,2016-11-27,18:00:00,HalveMaen,0
